ID,new_topic,post,GT Stance,predictions,predicted_stance_ BERTTWEET
20001,donald trump,@2014voteblue @chrisjzullo blindly supporting political parties is willfull ignorance,repub or dem. #SemST,@chrisjzullo blindly supporting political parties is willful ignorance blindly,AGAINST
20002,donald trump,"@thepimpernelx @cameron_gray @calebhowe  totally agree ...time to get out of the twitter peanut gallery and take ""arms #semst",UNKNOWN,@thepimpernelx @cameron_gray @caleb,AGAINST
20003,donald trump,@jeffyoung @thepatriot143 i fully support full repeal. i will work for candidates who i believe will make it happen! #semst,UNKNOWN,@jeffyoung @thepatriot143 i fully support full repeal. i,FAVOR
20004,donald trump,@abc stupid is as stupid does! showedhis true colors; seems that he ignores that us was invaded,& plundered,is as stupid as does! is as stupid as does! @abc stupid is,AGAINST
20005,donald trump,@housegop we now have one political party. the socialist party. no more bs. we don't believe you anymore. #semst,UNKNOWN,@housegop we don't believe you anymore. no more bs.,AGAINST
20006,donald trump,donald trump isn't afraid to roast everyone. #semst,UNKNOWN,trump isn't afraid to roast everyone. trump isn',AGAINST
20007,donald trump,donald trump for president? i can dig it.  #semst,UNKNOWN,trump for president? for president? i can dig it. i,FAVOR
20008,donald trump,nothing about obamacare changed today what changed is the total exposure of anti-constitutional terrorism at the supremecourt #semst,UNKNOWN,nothing about obamacare changed today what changed is the total exposure of anti-,FAVOR
20009,donald trump,i have one friend,he said he has more accountants than he has nurses. #SemST,have one friend who is my best friend. i have one friend i have one,FAVOR
20010,donald trump,after today scotus has passed more legislation than congress. #tcot #semst,UNKNOWN,#semst #tcot #semst #tcot #s,AGAINST
20011,donald trump,@usalivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% support #trump.. #semst,UNKNOWN,@blondygirl1 @eavesdropann @autumkat @tex,FAVOR
20012,donald trump,@whiphoyer @corlessjones haha aca is far from affordable you bunch of gruber idiots! #semst,UNKNOWN,@corlessjones haha @whiphoyer @corlessjones haha,AGAINST
20013,donald trump,considering the fact that bush was a president of this country,I don't see it a joke that Trump is running ! #Election2016 #SemST,considering the fact that bush was a president of this country. Especially when you consider the,FAVOR
20014,donald trump,honestly i am gonna watch #univision so much more now,just to support the network against #SemST,i am gonna watch #univision so much more now. i am,FAVOR
20015,donald trump,@carminezozzora or a supreme court who now re-writes laws from the bench. they have done calisthenics to save o-care,TWICE! #SemST,or a supreme court who now re-writes laws from the bench.,AGAINST
